0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
// --------- Underworld ---------
0         *      *       *     *     0      5        0
0         *      *       *     *     1      5        0
0         *      *       *     *     2      5        0
0         *      *       *     *     3      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     5      5        0
0         *      *       *     *     6      5        0
0         *      *       *     *     7      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     9      5        0
0         *      *       *     *     10     5        0
0         *      *       *     *     10     5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     13     5        0
0         *      *       *     *     14     5        0
0         *      *       *     *     15     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     17     5        0
0         *      *       *     *     18     5        0
0         *      *       *     *     19     5        0
0         *      *       *     *     20     5        0
0         *      *       *     *     21     5        0
0         *      *       *     *     22     5        0
0         *      *       *     *     23     5        0
// ------------------------------------------------------

// --------- Dragon --------- 
1         *      *       *     *     0      15       0
1         *      *       *     *     2      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     6      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     10     15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     18     32       0
1         *      *       *     *     20     15       0
1         *      *       *     *     22     15       0
// ------------------------------------------------------

// --------- Golden ---------
2         *      *       *     *     0      25        0
2         *      *       *     *     1      25        0
2         *      *       *     *     2      25        0
2         *      *       *     *     3      25        0
2         *      *       *     *     4      25        0
2         *      *       *     *     5      25        0
2         *      *       *     *     6      25        0
2         *      *       *     *     7      25        0
2         *      *       *     *     8      25        0
2         *      *       *     *     9      25        0
2         *      *       *     *     10     25        0
2         *      *       *     *     10     25        0
2         *      *       *     *     12     25        0
2         *      *       *     *     13     25        0
2         *      *       *     *     14     25        0
2         *      *       *     *     15     25        0
2         *      *       *     *     16     25        0
2         *      *       *     *     17     25        0
2         *      *       *     *     18     25        0
2         *      *       *     *     19     25        0
2         *      *       *     *     20     25        0
2         *      *       *     *     21     25        0
2         *      *       *     *     22     25        0
2         *      *       *     *     23     25        0
// ------------------------------------

// ---------- White Wizard ----------
3         *      *       *     *     0      50        0
3         *      *       *     *     1      50        0
3         *      *       *     *     2      50        0
3         *      *       *     *     3      50        0
3         *      *       *     *     4      50        0
3         *      *       *     *     5      50        0
3         *      *       *     *     6      50        0
3         *      *       *     *     7      50        0
3         *      *       *     *     8      50        0
3         *      *       *     *     9      50        0
3         *      *       *     *     10     50        0
3         *      *       *     *     10     50        0
3         *      *       *     *     12     50        0
3         *      *       *     *     13     50        0
3         *      *       *     *     14     50        0
3         *      *       *     *     15     50        0
3         *      *       *     *     16     50        0
3         *      *       *     *     17     50        0
3         *      *       *     *     18     50        0
3         *      *       *     *     19     50        0
3         *      *       *     *     20     50        0
3         *      *       *     *     21     50        0
3         *      *       *     *     22     50        0
3         *      *       *     *     23     50        0
// -----------------------------------
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     18     32        0
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     18     32       0
6         *      *       *     *     2      25       0
6         *      *       *     *     6      25       0
6         *      *       *     *     10     25       0
6         *      *       *     *     14     25       0
6         *      *       *     *     18     25       0
6         *      *       *     *     18     32       0
7         *      *       *     *     2      50       0
7         *      *       *     *     6      50       0
7         *      *       *     *     10     50       0
7         *      *       *     *     14     50       0
7         *      *       *     *     18     50       0
7         *      *       *     *     18     32       0
// ----------- Medusa --------------
8         *      *       *     *     1      0        0
8         *      *       *     *     3      0        0
8         *      *       *     *     5      0        0 
8         *      *       *     *     7      0        0
8         *      *       *     *     9      0        0
8         *      *       *     *     11      0        0
8         *      *       *     *     13     0        0
8         *      *       *     *     15      0        0
8         *      *       *     *     17     0        0
8         *      *       *     *     18     32        0
8         *      *       *     *     20      0        0
8         *      *       *     *     22      0        0
// -----------------------------------
9         *      *       *     *     1      25       0
9         *      *       *     *     5      25       0 
9         *      *       *     *     9      25       0
9         *      *       *     *     13     25       0
9         *      *       *     *     17     25       0
9         *      *       *     *     18     32       0
10        *      *       *     *     1      50       0
10        *      *       *     *     5      50       0 
10        *      *       *     *     9      50       0
10        *      *       *     *     13     50       0
10        *      *       *     *     17     50       0
10        *      *       *     *     18     32       0
10        *      *       *     *     10     32       0
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime	Comment
0         0                *                55          11            600		//Underworld
1         1                *                42          12            600		//Red Dragon
2         2                *                501         13            600		//Golden
3         3                *                135         14            600		//White Wizard
4         4                *                *           *             600		//New Year
5         5                *                *           *             600		//Easter
6         6                *                *           *             600		//Summer
7         7                *                476         15            600		//Christmas
8         8                *                561         16            600		//Medusa
9         9                *                *           *             600		//Summon
10        10               *                *           *             600		//Egg
end

2
//Index   Group   Map   Value
0         0       0
0         0       1
1         0       0
1         0       1
1         0       2
2         0       0
2         1       0
2         2       0
2         3       0
2         4       0
2         4       1
2         4       2
2         4       3
2         5       0
2         6       0
2         7       0
2         8       0
2         9       0
2         10      0
2         11      0
2         12      0
2         13      0
2         14      0
2         15      0
2         16      0
2         17      0
2         17      1
2         18      0
3         0       0
3         0       1
3         0       2
4         0       0
4         0       1
4         0       2
4         0       3
4         0       4
4         0       5
5         0       0
5         0       1
5         0       2
5         0       3
5         0       4
5         0       5
6         0       0
6         0       1
6         0       2
6         0       3
6         0       4
6         0       5
7         0       0
7         0       1
7         0       2
8         0       0
8         0       1
8         0       2
8         0       3
9         0       0
9         0       1
9         0       2
9         0       3
9         0       4
9         0       5
10        0       0
10        0       1
10        0       2
10        0       3
10        1       0
10        1       1
10        1       2
10        1       3
10        2       0
10        2       1
10        2       2
10        2       3
end

3
//Index   Group   Value   Class   Count   MapN   MapSX   MapSY   MapTX   MapTY   Distance   Element   RegenType   RegenTime   Comment
0         0       0       55      2       0      125     190     140     203     6	    *	      0           0           //Death King
0         0       0       56      15      0      125     190     140     203     6	    *	      0           0           //Death Bone
0         0       1       55      2       3      195     70      205     86      6	    *	      0           0           //Death King
0         0       1       56      15      3      195     70      205     86      6	    *	      0           0           //Death Bone
1         0       0       42      5       0      10      10      240     240     6	    *	      0           0           //Red Dragon
1         0       1       42      5       2      10      10      240     240     6	    *	      0           0           //Red Dragon
1         0       2       42      5       3      10      10      240     240     6	    *	      0           0           //Red Dragon
2         0       0       43      15      0      10      10      240     240     6	    *	      0           0           //Golden Budge Dragon
2         1       0       53      15      2      10      10      240     240     6	    *	      0           0           //Golden Titan
2         2       0       54      15      2      10      10      240     240     6	    *	      0           0           //Golden Soldier
2         3       0       78      15      3      10      10      240     240     6	    *	      0           0           //Golden Goblin
2         4       0       79      5       0      10      10      240     240     6	    *	      0           0           //Golden Derkon
2         4       1       79      5       2      10      10      240     240     6	    *	      0           0           //Golden Derkon
2         4       2       79      5       3      10      10      240     240     6	    *	      0           0           //Golden Derkon
2         4       3       79      5       51     10      10      240     240     6	    *	      0           0           //Golden Derkon
2         5       0       80      10      7      10      10      240     240     6	    *	      0           0           //Golden Lizard King
2         6       0       81      10      7      10      10      240     240     6	    *	      0           0           //Golden Vepar
2         7       0       82      10      8      10      10      240     240     6	    *	      0           0           //Golden Tantalos
2         8       0       83      10      8      10      10      240     240     6	    *	      0           0           //Golden Wheel
2         9       0       493     10      1      2       52      43      125     6	    *	      0           0           //Golden Dark Knight
2         10      0       494     10      4      10      10      240     240     6	    *	      0           0           //Golden Devil
2         11      0       495     10      33     10      10      240     240     6	    *	      0           0           //Golden Stone Golem
2         12      0       496     10      10     10      10      240     240     6	    *	      0           0           //Golden Crust
2         13      0       497     10      37     10      10      240     240     6	    *	      0           0           //Golden Satyros
2         14      0       498     10      38     10      10      240     240     6	    *	      0           0           //Golden Twin Tail
2         15      0       499     10      57     10      10      240     240     6	    *	      0           0           //Golden Iron Knight
2         16      0       500     10      56     10      10      240     240     6	    *	      0           0           //Golden Napin
2         17      0       501     5       37     10      10      240     240     6	    *	      0           0           //Great Golden Dragon
2         17      1       501     5       57     10      10      240     240     6	    *	      0           0           //Great Golden Dragon
2         18      0       502     15       51     10      10      240     240     6	    *	      0           0           //Golden Rabbit
3         0       0       135     2       0      148     47      164     65      6	    *	      0           0           //White wizard
3         0       0       136     15      0      148     47      164     65      6	    *	      0           0           //Destructive ogre soldier
3         0       0       137     15      0      148     47      164     65      6	    *	      0           0           //Destructive ogre archer
3         0       1       135     2       2      158     12      167     24      6	    *	      0           0           //White wizard
3         0       1       136     15      2      158     12      167     24      6	    *	      0           0           //Destructive ogre soldier
3         0       1       137     15      2      158     12      167     24      6	    *	      0           0           //Destructive ogre archer
3         0       2       135     2       3      197     70      204     86      6	    *	      0           0           //White wizard
3         0       2       136     15      3      197     70      204     86      6	    *	      0           0           //Destructive ogre soldier
3         0       2       137     15      3      197     70      204     86      6	    *	      0           0           //Destructive ogre archer
4         0       0       365     15      4      10      10      240     240     6	    *	      0           0           //Pouch of Blessing
4         0       1       365     15      7      10      10      240     240     6	    *	      0           0           //Pouch of Blessing
4         0       2       365     15      8      10      10      240     240     6	    *	      0           0           //Pouch of Blessing
4         0       3       365     15      33     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
4         0       4       365     15      37     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
4         0       5       365     15      57     10      10      240     240     6	    *	      0           0           //Pouch of Blessing
5         0       0       413     15      4      10      10      240     240     6	    *	      0           0           //Lunar Rabbit
5         0       1       413     15      7      10      10      240     240     6	    *	      0           0           //Lunar Rabbit
5         0       2       413     15      8      10      10      240     240     6	    *	      0           0           //Lunar Rabbit
5         0       3       413     15      33     10      10      240     240     6	    *	      0           0           //Lunar Rabbit
5         0       4       413     15      37     10      10      240     240     6	    *	      0           0           //Lunar Rabbit
5         0       5       413     15      57     10      10      240     240     6	    *	      0           0           //Lunar Rabbit
6         0       0       463     15      4      10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
6         0       1       463     15      7      10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
6         0       2       463     15      8      10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
6         0       3       463     15      33     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
6         0       4       463     15      37     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
6         0       5       463     15      57     10      10      240     240     6	    *	      0           0           //Fire Flame Ghost
7         0       0       466     15      0      148     47      164     65      6	    *	      0           0           //Cursed Goblin
7         0       0       476     2       0      148     47      164     65      6	    *	      0           0           //Cursed Santa
7         0       1       466     15      2      158     12      167     24      6	    *	      0           0           //Cursed Goblin
7         0       1       476     2       2      158     12      167     24      6	    *	      0           0           //Cursed Santa
7         0       2       466     15      3      194     70      204     86      6	    *	      0           0           //Cursed Goblin
7         0       2       476     2       3      194     70      204     86      6	    *	      0           0           //Cursed Santa
8         0       0       560     15       56     50      103     57      114     6	    *	      0           0           //Sapi Queen
8         0       0       561     2       56     50      103     57      114     6	    *	      0           0           //Medusa
8         0       1       560     15       56     127     162     136     171     6	    *	      0           0           //Sapi Queen
8         0       1       561     2       56     127     162     136     171     6	    *	      0           0           //Medusa
8         0       2       560     15       56     149     10      162     19      6	    *	      0           0           //Sapi Queen
8         0       2       561     2       56     149     10      162     19      6	    *	      0           0           //Medusa
8         0       3       560     15       56     178     114     184     129     6	    *	      0           0           //Sapi Queen
8         0       3       561     2       56     178     114     184     129     6	    *	      0           0           //Medusa
9         0       0       652     15      8      10      10      240     240     6	    *	      0           0           //Golden Goblin
9         0       1       652     15      33     10      10      240     240     6	    *	      0           0           //Golden Goblin
9         0       2       652     15      37     10      10      240     240     6	    *	      0           0           //Golden Goblin
9         0       3       652     10       80     10      10      240     240     6	    *	      0           0           //Golden Goblin
9         0       4       652     10       81     10      10      240     240     6	    *	      0           0           //Golden Goblin
9         0       5       652     15      91     10      10      240     240     6	    *	      0           0           //Golden Goblin
10        0       0       674     15      0      10      10      240     240     6	    *	      0           0           //Moon Rabbit
