//Section   Type   Level   Dur   Skill   Luck   Option   Excellent.
14          1       0       10     0       0      0        0
14          2       0       10     0       0      0        0
14          3       0       10     0       0      0        0
14          4       0       10     0       0      0        0
14          5       0       10     0       0      0        0
14          6       0       10     0       0      0        0
14          1       0       255     0       0      0        0
14          2       0       255     0       0      0        0
14          3       0       255     0       0      0        0
14          4       0       255     0       0      0        0
14          5       0       255     0       0      0        0
14          6       0       255     0       0      0        0
14          13      0       10      0       0      0        0
14          14      0       10      0       0      0        0
14          16      0       10      0       0      0        0
14          22      0       10      0       0      0        0
14          53      0       10      0       0      0        0
14          217     0       0       0       0      0        0
14          218     0       0       0       0      0        0
14          219     0       0       0       0      0        0
14          220     0       0       0       0      0        0
14          221     0       0       0       0      0        0
14          343     0       0       0       0      0        0
14          345     0       0       0       0      0        0
14          399     0       0       0       0      0        0
14          113     0       0       0       0      0        0
14          112     0       0       0       0      0        0
13          29      0       1       0       0      0        0
14          9       0       1       0       0      0        0
13          46      0       0       0       0      0        0
13          47      0       0       0       0      0        0
13          8       0       0       0       0      2        0
13          12      0       0       0       0      2        0
14          68      0       0       0       0      0        0
14          66      0       0       0       0      0        0
14          67      0       0       0       0      0        0
14          65      0       0       0       0      0        0
14          24      0       0       0       0      0        0
14          23      0       0       0       0      0        0
14          25      0       0       0       0      0        0
14          26      0       0       0       0      0        0
12          70      0       0       0       0      0        0
14          28      7       0       0       0      0        0
14          24      1       0       0       0      0        0
14          23      1       0       0       0      0        0
16          239     0       0       0       0      0        0
12          288     0       0       0       0      0        0
13          38      1       0       0       0      0        0

end
