//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           2        0     255     0       0      0          0    
7           3        0     255     0       0      0          0    
5           1        0     255     0       0      0          0    
5           2        0     255     0       0      0          0  
// Armor
8           2        0     255     0       0      0          0      
8           3        0     255     0       0      0          0 
5           3        0     255     0       0      0          0    
5           4        0     255     0       0      0          0                 
// Pant
9           2        0     255     0       0      0          0                  
9           3        0     255     0       0      0          0	                 
// Glover
10          2        0     255     0       0      0          0                  
10          3        0     255     0       0      0          0   
15          1        0       0     0       0      0        0
15          2        0       0     0       0      0        0
15          3        0       0     0       0      0        0
15          4        0       0     0       0      0        0  
// Boot
11          2        0     255     0       0      0          0                    
11          3        0     255     0       0      0          0   
// Weapon
15          0        0       1     0       0      0        0
15          1        0       1     0       0      0        0
15          3        0       1     0       0      0        0    
15          4        0       1     0       0      0        0                            
15          5        0       1     0       0      0        0
15          6        0       1     0       0      0        0
15          7        0       1     0       0      0        0
15          8        0       1     0       0      0        0
15          9        0       1     0       0      0        0
15          10       0       1     0       0      0        0
15          11       0       1     0       0      0        0
15          12       0       1     0       0      0        0
15          13       0       1     0       0      0        0
15          14       0       1     0       0      0        0
15          15       0       1     0       0      0        0
15          16       0       1     0       0      0        0
15          17       0       1     0       0      0        0
15          18       0       1     0       0      0        0
15          28       0       1     0       0      0        0
// Skill             
end

