//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           206        0     255     0       0      0          0    
7           207        0     255     0       0      0          0              
7           208        0     255     0       0      0          0    
7           209        0     255     0       0      0          0    
// Armor
8           206        0     255     0       0      0          0      
8           207        0     255     0       0      0          0                  
8           208        0     255     0       0      0          0    
8           209        0     255     0       0      0          0                  
// Pant
9           207        0     255     0       0      0          0   
9           206        0     255     0       0      0          0                  
9           208        0     255     0       0      0          0   
9           209        0     255     0       0      0          0	                   
// Glover
10          207        0     255     0       0      0          0   
10          206        0     255     0       0      0          0                  
10          208        0     255     0       0      0          0   
10          209        0     255     0       0      0          0   

// Boot
11          207        0     255     0       0      0          0   
11          206        0     255     0       0      0          0                  
11          208        0     255     0       0      0          0   
11          209        0     255     0       0      0          0   
// Weapon    
12          491        0     255     0       0      0          0                  
12          492        0     255     0       0      0          0               
4           42         0     255     0       0      0          0
4           43         0     255     0       0      0          0     
// Skill
12          493        0     255     0       0      0          0

end

