//Section   Type   Level   Dur   Skill   Luck   Option   Excellent   
// Armor
8           15        0     255     0       0      0          0      
8           20        0     255     0       0      0          0                  
8           23        0     255     0       0      0          0    
8           32        0     255     0       0      0          0                  
// Pant
9           15        0     255     0       0      0          0                  
9           20        0     255     0       0      0          0   
9           23        0     255     0       0      0          0   
9           32        0     255     0       0      0          0	                   
// Glover
10          15        0     255     0       0      0          0                  
10          20        0     255     0       0      0          0   
10          23        0     255     0       0      0          0   
10          32        0     255     0       0      0          0   

// Boot
11          15        0     255     0       0      0          0                  
11          20        0     255     0       0      0          0   
11          23        0     255     0       0      0          0   
11          32        0     255     0       0      0          0   
// Weapon                            
0           31        0     255     0       0      0          0                  
0           25        0     255     0       0      0          0                 
0           21        0     255     0       0      0          0
0           23        0     255     0       0      0          0       
// Skill
12          16        0     0       0       0      0          0              
15          29        0     0       0       0      0          0              


end
