//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           116        0     255     0       0      0          0    
7           117        0     255     0       0      0          0              
7           118        0     255     0       0      0          0    
7           119        0     255     0       0      0          0    
// Armor
8           116        0     255     0       0      0          0      
8           117        0     255     0       0      0          0                  
8           118        0     255     0       0      0          0    
8           119        0     255     0       0      0          0                  
// Pant
9           116        0     255     0       0      0          0                  
9           117        0     255     0       0      0          0   
9           118        0     255     0       0      0          0   
9           119        0     255     0       0      0          0	                   
// Glover
10          116        0     255     0       0      0          0                  
10          117        0     255     0       0      0          0   
10          118        0     255     0       0      0          0   
10          119        0     255     0       0      0          0   

// Boot
11          116        0     255     0       0      0          0                  
11          117        0     255     0       0      0          0   
11          118        0     255     0       0      0          0   
11          119        0     255     0       0      0          0   
// Weapon                 
2           28         0     255     0       0      0          0
2           29         0     255     0       0      0          0       

// Skill
15          0        0       1     0       0      0        0
15          1        0       1     0       0      0        0
15          3        0       1     0       0      0        0    
15          4        0       1     0       0      0        0                            
15          7        0       1     0       0      0        0
15          8        0       1     0       0      0        0
15          9        0       1     0       0      0        0
15          12       0       1     0       0      0        0
15          13       0       1     0       0      0        0
15          17       0       1     0       0      0        0
15          28       0       1     0       0      0        0
15          37       0       1     0       0      0        0
15          38       0       1     0       0      0        0


end

