//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           91        0     255     0       0      0          0    
7           92        0     255     0       0      0          0              
7           93        0     255     0       0      0          0    
7           94        0     255     0       0      0          0    
// Armor
8           91        0     255     0       0      0          0      
8           92        0     255     0       0      0          0                  
8           93        0     255     0       0      0          0    
8           94        0     255     0       0      0          0                  
// Pant
9           91        0     255     0       0      0          0                  
9           92        0     255     0       0      0          0   
9           93        0     255     0       0      0          0   
9           94        0     255     0       0      0          0	                   
// Glover
10          91        0     255     0       0      0          0                  
10          92        0     255     0       0      0          0   
10          93        0     255     0       0      0          0   
10          94        0     255     0       0      0          0   

// Boot
11          91        0     255     0       0      0          0                  
11          92        0     255     0       0      0          0   
11          93        0     255     0       0      0          0   
11          94        0     255     0       0      0          0   
// Weapon                            
3           13        0     255     0       0      0          0                  
3           14        0     255     0       0      0          0                 
3           15        0     255     0       0      0          0
3           16        0     255     0       0      0          0    
// Skill             
12          271        0     0       0       0      0          0                  
12          272        0     0       0       0      0          0                                  
12          273        0     0       0       0      0          0           
12          274        0     0       0       0      0          0                                
12          275        0     0       0       0      0          0 
12          276        0     0       0       0      0          0                                
12          277        0     0       0       0      0          0 
end

