//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           10        0     255     0       0      0          0    
7           11        0     255     0       0      0          0              
7           12        0     255     0       0      0          0    
7           13        0     255     0       0      0          0    
// Armor
8           10        0     255     0       0      0          0      
8           11        0     255     0       0      0          0                  
8           12        0     255     0       0      0          0    
8           13        0     255     0       0      0          0                  
// Pant
9           10        0     255     0       0      0          0                  
9           11        0     255     0       0      0          0   
9           12        0     255     0       0      0          0   
9           13        0     255     0       0      0          0	                   
// Glover
10          10        0     255     0       0      0          0                  
10          11        0     255     0       0      0          0   
10          12        0     255     0       0      0          0   
10          13        0     255     0       0      0          0   

// Boot
11          10        0     255     0       0      0          0                  
11          11        0     255     0       0      0          0   
11          12        0     255     0       0      0          0   
11          13        0     255     0       0      0          0   
// Weapon                 
4           1         0       0     0       0      0          0
4           2         0       0     0       0      0          0           
2           7         0       0     0       0      0          0
4           11        0       0     0       0      0          0

//Skill
12          8         0       0     0       0      0          0
12          9         0       0     0       0      0          0
12          10        0       0     0       0      0          0
12          11        0       0     0       0      0          0
12          11        1       0     0       0      0          0
12          11        2       0     0       0      0          0
12          11        3       0     0       0      0          0
12          11        4       0     0       0      0          0
12          17        0       0     0       0      0          0
12          18        0       0     0       0      0          0
12          45        0       0     0       0      0          0
12          46        0       0     0       0      0          0
4           7      0       255   0       0      0        0
4           7      1       255   0       0      0        0
4           7      2       255   0       0      0        0
4           7      3       255   0       0      0        0
4           15     0       255   0       0      0        0
4           15     1       255   0       0      0        0
4           15     2       255   0       0      0        0
4           15     3       255   0       0      0        0





end

