//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           174        0     255     0       0      0          0    
7           175        0     255     0       0      0          0              
7           176        0     255     0       0      0          0    
7           177        0     255     0       0      0          0    
// Armor
8           174        0     255     0       0      0          0      
8           175        0     255     0       0      0          0                  
8           176        0     255     0       0      0          0    
8           177        0     255     0       0      0          0                  
// Pant
9           174        0     255     0       0      0          0                  
9           175        0     255     0       0      0          0   
9           176        0     255     0       0      0          0   
9           177        0     255     0       0      0          0	                   
// Glover
10          174        0     255     0       0      0          0                  
10          175        0     255     0       0      0          0   
10          176        0     255     0       0      0          0   
10          177        0     255     0       0      0          0   

// Boot
11          174        0     255     0       0      0          0                  
11          175        0     255     0       0      0          0   
11          176        0     255     0       0      0          0   
11          177        0     255     0       0      0          0   
// Weapon                            
0           66        0     255     0       0      0          0                  
0           67        0     255     0       0      0          0                 
0           68        0     255     0       0      0          0  
// Skill
12          476        0     255     0       0      0          0                  
12          477        0     255     0       0      0          0                 
12          478        0     255     0       0      0          0
12          479        0     255     0       0      0          0  
12          482        0     255     0       0      0          0  
end
