//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           0        9     255     0       1      1          0    
7           6        9     255     0       1      1          0              
7           8        9     255     0       1      1          0    
7           9        9     255     0       1      1          0    
// Armor
8           0        9     255     0       1      1          0      
8           6        9     255     0       1      1          0                  
8           8        9     255     0       1      1          0    
8           9        9     255     0       1      1          0                  
// Pant
9           8        9     255     0       1      1          0   
9           9        9     255     0       1      1          0	                   
9           0        9     255     0       1      1          0                  
9           6        9     255     0       1      1          0   
// Glover
10          8        9     255     0       1      1          0   
10          9        9     255     0       1      1          0   
10          0        9     255     0       1      1          0                  
10          6        9     255     0       1      1          0   
// Boot
11          8        9     255     0       1      1          0   
11          9        9     255     0       1      1          0   
11          0        9     255     0       1      1          0                  
11          6        9     255     0       1      1          0   
end
