//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          0      0       0     0       0      0        0
14          1      0       0     0       0      0        0
14          2      0       0     0       0      0        0
14          3      0       0     0       0      0        0
14          4      0       0     0       0      0        0
14          5      0       0     0       0      0        0
14          6      0       0     0       0      0        0
14          8      0       0     0       0      0        0
14          0      0       10     0       0      0        0
14          1      0       10     0       0      0        0
14          2      0       10     0       0      0        0
14          3      0       10     0       0      0        0
14          4      0       10     0       0      0        0
14          5      0       10     0       0      0        0
14          6      0       10     0       0      0        0
14          8      0       10     0       0      0        0
14          0      0       255     0       0      0        0
14          1      0       255     0       0      0        0
14          2      0       255     0       0      0        0
14          3      0       255     0       0      0        0
14          4      0       255     0       0      0        0
14          5      0       255     0       0      0        0
14          6      0       255     0       0      0        0
14          8      0       255     0       0      0        0
13          7      0       1     0       0      0        0
13          7      0       1     0       0      0        0
14          10     0       1     0       0      0        0
13          29     0       1     0       0      0        0
end
