//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
// Helm
7           39        0     255     0       0      0          0    
7           40        0     255     0       0      0          0          
7           41        0     255     0       0      0          0    
7           42        0     255     0       0      0          0    
// Armor
8           39        0     255     0       0      0          0      
8           40        0     255     0       0      0          0          
8           41        0     255     0       0      0          0    
8           42        0     255     0       0      0          0          
// Pant
9           39        0     255     0       0      0          0          
9           40        0     255     0       0      0          0   
9           41        0     255     0       0      0          0   
9           42        0     255     0       0      0          0	        
// Glover
10          39        0     255     0       0      0          0          
10          40        0     255     0       0      0          0   
10          41        0     255     0       0      0          0   
10          42        0     255     0       0      0          0   
// Boot
11          39        0     255     0       0      0          0          
11          40        0     255     0       0      0          0   
11          41        0     255     0       0      0          0   
11          42        0     255     0       0      0          0   
// Weapon                            
5           14        0     255     0       0      0          0          
5           17        0     255     0       0      0          0
5           22        0     255     0       0      0          0    
5           23        0     255     0       0      0          0    

// Skill     
15          1        0     0       0       0      0          0          
15          3        0     0       0       0      0          0          
15          6        0     0       0       0      0          0          
15          10        0     0       0       0      0          0        
15          19        0     0       0       0      0          0          
15          20        0     0       0       0      0          0          
15          21        0     0       0       0      0          0          
15          22        0     0       0       0      0          0          
15          23        0     0       0       0      0          0          
end
