00:16:12 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:18:15 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:20:13 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:20:46 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:21:05 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:21:41 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:22:37 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:24:05 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:25:01 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
02:28:35 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
17:42:54 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
21:35:12 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
21:37:39 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
23:55:28 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
23:55:47 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
23:58:23 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
23:59:05 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
