00:19:05 [AccountInfo] Account connected (Account: shin, IpAddress: 192.168.243.1, GameServerCode: 20)
00:19:50 [AccountInfo] Account disconnected (Account: shin, IpAddress: 192.168.243.1, GameServerCode: 20)
00:25:22 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
00:26:32 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
02:46:07 [AccountInfo] Account disconnected by clear (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
02:48:04 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
04:55:22 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
12:48:43 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
15:59:33 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
16:03:10 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
16:11:46 [AccountInfo] Account connected (Account: shin, IpAddress: 192.168.243.1, GameServerCode: 20)
16:21:16 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
16:22:27 [AccountInfo] Account connected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
17:07:02 [AccountInfo] Account disconnected (Account: shin, IpAddress: 192.168.243.1, GameServerCode: 20)
17:07:02 [AccountInfo] Account disconnected (Account: ntmd, IpAddress: 192.168.243.1, GameServerCode: 20)
