//Section   Type   MaxSocket
0           26     5
0           27     5
2           16     5
2           17     5
4           23     5
5           30     5
5           31     5
6           17     5
6           18     5
6           19     5
6           20     5
6	    21	   5
7           44     5
7           45     5
7           46     5
7           49     5
7           50     5
7           51     5
7           52     5
8           44     5
8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
9           44     5
9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
10          44     5
10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
11          44     5
11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
end
